Rank,TeamID,GoldMedal,SilverMedal,BronzeMedal,Total,Rank_by_Total,NOCODE
1,1,39,41,33,113,1,1
2,2,38,32,18,88,2,2
3,3,27,14,17,58,5,3
4,4,22,21,22,65,4,4
5,5,20,28,23,71,3,5
6,6,17,7,22,46,6,6
7,7,10,12,14,36,9,7
8,8,10,12,11,33,10,8
9,9,10,11,16,37,8,9
10,10,10,10,20,40,7,10
11,11,7,6,11,24,11,11
12,12,7,6,8,21,12,12
13,13,7,6,7,20,13,13
14,14,7,3,5,15,18,14
15,15,6,7,7,20,13,15
16,16,6,4,10,20,13,16
17,17,4,5,5,14,19,17
18,18,4,4,3,11,23,18
19,19,4,4,2,10,25,19
20,20,4,2,2,8,29,20
21,21,4,1,4,9,26,21
22,22,3,8,6,17,17,22
23,23,3,6,0,9,26,23
24,24,3,4,6,13,20,24
25,25,3,4,4,11,23,25
26,26,3,3,2,8,29,26
27,27,3,2,2,7,33,27
28,28,3,1,5,9,26,28
29,29,3,1,3,7,33,29
30,30,3,1,2,6,39,30
31,31,3,1,1,5,42,31
32,32,3,0,2,5,42,32
33,33,2,5,1,8,29,33
34,34,2,4,6,12,22,34
35,35,2,2,9,13,20,35
36,36,2,1,1,4,47,36
36,36,2,1,1,4,47,36
38,38,2,1,0,3,60,38
39,39,2,0,2,4,47,39
39,39,2,0,2,4,47,39
41,41,2,0,1,3,60,41
42,42,2,0,0,2,66,42
42,42,2,0,0,2,66,42
44,44,1,6,12,19,16,44
45,45,1,3,3,7,33,45
46,46,1,3,0,4,47,46
46,46,1,3,0,4,47,46
48,48,1,2,4,7,33,48
49,49,1,2,3,6,39,49
50,50,1,2,1,4,47,50
50,50,1,2,1,4,47,50
52,52,1,2,0,3,60,52
53,53,1,1,5,7,33,53
54,54,1,1,4,6,39,54
55,55,1,1,3,5,42,55
56,56,1,1,2,4,47,56
56,56,1,1,2,4,47,56
58,58,1,1,0,2,66,58
59,59,1,0,1,2,66,59
59,59,1,0,1,2,66,59
59,59,1,0,1,2,66,59
59,59,1,0,1,2,66,59
63,63,1,0,0,1,77,63
63,63,1,0,0,1,77,63
63,63,1,0,0,1,77,63
66,66,0,4,1,5,42,66
67,67,0,3,4,7,33,67
68,68,0,3,2,5,42,68
69,69,0,2,2,4,47,69
70,70,0,2,1,3,60,70
71,71,0,1,3,4,47,71
72,72,0,1,2,3,60,72
72,72,0,1,2,3,60,72
74,74,0,1,1,2,66,74
74,74,0,1,1,2,66,74
74,74,0,1,1,2,66,74
77,77,0,1,0,1,77,77
77,77,0,1,0,1,77,77
77,77,0,1,0,1,77,77
77,77,0,1,0,1,77,77
77,77,0,1,0,1,77,77
77,77,0,1,0,1,77,77
83,83,0,0,8,8,29,83
84,84,0,0,4,4,47,84
85,85,0,0,2,2,66,85
86,86,0,0,1,1,77,86
86,86,0,0,1,1,77,86
86,86,0,0,1,1,77,86
86,86,0,0,1,1,77,86
86,86,0,0,1,1,77,86
86,86,0,0,1,1,77,86
86,86,0,0,1,1,77,86
86,86,0,0,1,1,77,86
